,index,ID,doi,structure,E(S1),f(S1),E(T1),S-2T
618,38362,BAHQAC,10.1021/jo980964x,CN1CCC2=C(Br)C(=O)C3=C(C2=C1)S(=O)(=O)CCN3,3.152800019,0.341,1.703809854,-0.25481968900000007
875,439600,MELGUG,10.1007/s10847-005-9001-1,COc1ccc(cc1)C(c1cc(C)c(O)c(C)c1)=C1C=C(C)C(=O)C(=C1)C,2.9786000180000003,0.0335,1.6815672680000002,-0.38453451800000016
372,741823,VAGPOJ01,10.1107/S1600536805002114,O=C1NC(=C2C(=O)NC(=C12)c1ccncc1)c1ccncc1,2.767200017,0.4914,1.427363135,-0.08752625300000005
524,325445,IVIPIN,10.1021/ol200748c,CC(C)[Si](C#CC1=C2C=C3SC=CC3=CC2=C(C#C[Si](C(C)C)(C(C)C)C(C)C)C2=NSN=C12)(C(C)C)C(C)C,2.179400013,0.2557,1.187372052,-0.19534409099999994
31,264745,HAHRIU,10.1134/S1070428012030116,NC1=C(C=CC2=[N+]([O-])C3(CCCCC3)N=C12)N(=O)=O,2.928200018,0.0792,1.172803267,0.5825934840000002
344,840623,XURBUI,10.1021/jo901142f,CC(C)(C)C1=CC(=CC=CC=C(C#N)C(c2ccccc2)=C(C#N)C#N)C=C(O1)C(C)(C)C,2.615700016,2.0428,1.344130311,-0.07256060600000014
780,215749,FOGHOY,10.1039/c39870001546,C1SN=S=NS1,3.015900018,0.0399,1.6789078990000001,-0.34191578000000034
277,738937,UYUSEO,10.1039/C4TC01992J,CC(C)[Si](C#CC1=C2N=C3C(=C(Cl)C(=C(Cl)C3=NC2=C(C#C[Si](C(C)C)(C(C)C)C(C)C)C2=NSN=C12)Cl)Cl)(C(C)C)C(C)C,2.068700012,0.2676,1.04201482,-0.015329627999999929
483,499082,NUQSID,10.1039/C5TC02287H,C(C=C1CC2=C(S1)SC1=C2SC(C1)=CCc1ccccc1)c1ccccc1,3.074600018,0.0549,1.616727435,-0.15885485200000016
393,764648,VOKBAA,,CCCCCCN1C(=O)C2=C(N(CCCCCC)C(=O)C2=C1C1=CC=C(Br)S1)C1=CC=C(Br)S1,2.556800015,0.6964,1.329910729,-0.10302144300000027
102,237898,GEGRUI,10.1021/acsomega.7b00393,CCOC(=O)C=CC1=C(N2C(=C1c1ccccc1)N=C1[N+](=C(C=C1c1ccccc1)c1ccc(OC)cc1)[B-]2(F)F)c1ccc(OC)cc1,2.239400013,0.8737,1.099526354,0.040347305000000055
250,560184,POTZON,,O=C1ON=S=C1c1ccccc1,3.34340002,0.253,1.3904478980000001,0.5625042239999996
451,366870,KEBWUM,10.1002/chem.201700421,CC(C)[Si](C#Cc1c2ccccc2c(C#C[Si](C(C)C)(C(C)C)C(C)C)c2nc3cc4cc(C#N)c(cc4cc3nc12)C#N)(C(C)C)C(C)C,1.818800011,0.1186,0.9768046401,-0.13480926920000003
30,287733,HOQDUO,10.1039/C4CC05886K,CN1C=CC(=C=C=C2C=CN(C)C=C2c2c(C)cc(C)cc2C)C(=C1)c1c(C)cc(C)cc1C,2.788500017,0.6538,0.9931371855,0.8022256460000001
562,634541,RUNLET,10.1002/chem.201501399,CN(C)c1ccc(cc1)c1c2cc3ccccc3cc2c(c2cc3ccccc3cc12)C(F)(F)F,2.2170000130000003,0.1287,1.22053239,-0.22406476699999978
497,30356,AWOJIF,10.1016/S0040-4020(02)01423-0,CCOc1ccc(cc1)[N+]1=NOC(=C1C1=NOC2(C)C1C(=O)N(C2=O)c1ccccc1)[O-],3.954200024,0.2091,2.061018604,-0.16783718400000014
11,126412,DAYBIO,10.1039/p29850000947,N#C[C-](C#N)[n+]1cc[n+](cc1)[C-](C#N)C#N,2.646300016,0.9162,0.8277964017,0.9907072126
76,930622,SEPJAB01,10.1021/acs.macromol.6b00349,Fc1c(F)c(F)c(COC(=O)C(C(=O)OCc2c(F)c(F)c(F)c(F)c2F)=C2C=CC(C=C2)=C(C(=O)OCc2c(F)c(F)c(F)c(F)c2F)C(=O)OCc2c(F)c(F)c(F)c(F)c2F)c(F)c1F,3.4650000210000003,1.5058,1.532227105,0.4005458110000002
638,836387,XOZHUR,10.1016/j.mencom.2014.11.027,CC(C)[n+]1noc2[N-]C(=O)CSc12,3.734200022,0.012,2.000333405,-0.26646678800000023
481,178264,EROCUK,10.1107/S1600536811016539,COC(=O)C1Cc2cc(OC)c(OC)cc2C(=[N+]1[O-])c1ccccc1OC,3.799900023,0.0538,1.979230976,-0.15856192899999977
651,383060,KOKMIH,10.1021/ol801358c,FC(F)(F)c1ccc(cc1)C1=C2C=CC=CC2=C(O1)C1=C2C=CC=CC2=C(O1)c1ccc(cc1)C(F)(F)F,2.400500014,0.9591,1.337809106,-0.2751181979999999
175,940533,GEZHOL,10.1016/j.tet.2018.04.015,O=P1(OC(c2ccccc2)C2=C(ON=[N+]2c2ccccc2)[N-]1)Oc1ccccc1,4.0403000239999995,0.1578,1.9294643459999998,0.18137133199999989
273,541202,PEFDEJ,10.1002/(SICI)1521-3773(19980904)37:16<2229::AID-ANIE2229>3.3.CO2-R,CC1(C)[N-][N+](=CC1=O)c1ccccc1,3.1771000189999996,0.0015,1.594679791,-0.012259563000000195
165,8218,AFUSAW,10.1021/ol8008667,FC(F)(F)c1ccc2N=C3C=C4Oc5cc(ccc5N=C4C=C3Oc2c1)C(F)(F)F,2.828600017,1.1382,1.301933888,0.2247322409999999
570,191508,FADYER,,Cc1cc[n+]([O-])c2ccccc12,3.816600023,0.0019,2.023112437,-0.22962485100000007
504,562776,PUBPEJ,10.1021/jo502206g,CCN(CC)C=CC=C(O)C=C1C(=O)N(C)C(=O)N(C)C1=O,2.9906000180000003,1.4882,1.5820321030000002,-0.17346418800000007
733,327613,IWUREZ,10.1021/acs.joc.6b00758,CCOC(=O)C1=C(N)[N+](=C(C2CCCCC2)C1=C(c1ccccc1)c1ccccc1)[O-],2.910300017,0.018000000000000002,1.6152876809999999,-0.32027534499999977
445,887553,ZIFPEL,10.1039/C3OB41278D,CC(C)(C)C1=CC(=CC=C2C3=C(SC2=C(C#N)C#N)C=CS3)C=C(O1)C(C)(C)C,2.424900015,0.6957,1.278085014,-0.13127001299999996
208,392196,KUZFAO,10.1002/ejoc.201501182,COc1ccc(cc1)C1=C2NC(=C(c3ccc(cc3)N(=O)=O)C3=NC(=C(C4=CC=C(O4)C(=C(C)C4=CC=C1O4)C)c1ccc(OC)cc1)C=C3)C=C2,1.903000011,0.2621,0.9319649034999999,0.039070204000000164
368,527108,OXALUW,10.1021/acs.joc.6b01771,CC(C)N(C(C)C)C(O)=C(c1ccccc1)c1ccc(N=O)c(Cl)c1,1.302400008,0.0001,0.6932301706,-0.08406033320000006
544,748769,VEBJOC,10.1021/ja0570786,c1ccc(cc1)c1ccc(c2ccccc2)c2cc3c(cc12)c(c1ccccc1)c1cc2c(ccc(c4ccccc4)c2cc1c3c1ccccc1)c1ccccc1,2.1318000130000003,0.1732,1.170624533,-0.20944905299999972
229,372330,KETSOT,10.1016/j.tet.2013.03.093,COC(=O)C1=C(c2ccc(OC)cc2)C(C#N)(C#N)C(=C1C(F)(F)F)NC(C)(C)C,2.070700012,0.0553,0.8656020497,0.3394959126000001
616,607185,RAKVAB,,Nc1ccccc1C1=C2C=C(O)C(=O)C=C2CCN1,3.173000019,0.0007,1.713398983,-0.25379794700000025
501,802140,WUGGIO,,CN(C)c1nc(N2c3ccccc3Sc3ccccc23)c2c(nc(N3c4ccccc4Sc4ccccc34)c12)N(C)C,2.581700015,0.28,1.376413898,-0.17112778100000003
617,781852,WAXFAE,,O=N(=O)C1=CC(=C2C=C(C(=NN(c3ccccc3)c3ccccc3)C3=NON=C23)N(=O)=O)C2=NON=C2C1=NN(c1ccccc1)c1ccccc1,2.387100014,1.8006,1.320633824,-0.25416763399999986
864,490490,NOHNAZ,10.1039/a701233k,C[N+]([O-])=C(C#N)c1ccccc1,3.636600022,0.0001,2.0082742319999998,-0.37994844199999944
307,475612,NEGCAF,10.1002/chem.201200591,c1ccc2c(c1)cc1ccccc1c2C1=C2C=C3c4ccccc4C(=C3C=C2c2ccccc12)c1c2ccccc2cc2ccccc12,2.4074000140000003,0.0,1.225605681,-0.04381134799999975
19,684328,TCQNMP10,10.1246/bcsj.46.2945,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N,3.28140002,1.1340000000000001,1.289332568,0.7027348839999998
220,690521,TEYGOT,10.1021/jo951907w,CCN(CC)c1ccc(N=C2C=C3Cc4cccc(Cc5cccc(Cc6cccc(CC(=C2)C3=O)c6O)c5O)c4O)c(C)c1,2.314200014,0.4786,1.051125191,0.21194963200000005
254,47858,BEJSOY,10.1016/S0957-4166(99)00212-8,COC1CC=CC(O1)C(=O)OC1CC2CCC1(CS(=O)(=O)N(C1CCCCC1)C1CCCCC1)C2(C)C,3.6175000219999998,0.0557,1.139043816,1.3394123899999997
330,858116,YICVAJ,10.1039/C3CC43270J,CC(C)[Si](C#Cc1c2cc3ccccc3cc2c(c2cc3ccccc3cc12)c1c2ccccc2c(F)c2ccccc12)(C(C)C)C(C)C,2.083900012,0.1984,1.07084501,-0.057790008000000004
732,105810,COQBOB,10.1039/C4CP02629B,N1C(=CC(=C1N=C1N=C(C=C1c1ccccc1)c1ccccn1)c1ccccc1)c1ccccn1,2.497100015,0.6465,1.408446324,-0.31979263300000005
335,668970,SUDTIW,10.1021/jo502206g,CC1(C)OC(=O)C(=CC(O)=CC=CN2Cc3ccccc3C2)C(=O)O1,2.978900018,1.5184,1.520836419,-0.06277282000000017
659,755414,VEZFIQ,10.1016/j.tet.2007.01.066,CCOc1ccc(cc1)[N+]1=NOC(=C1C1=NC(=C(N1CC(C)C)c1ccccc1)c1ccccc1)[O-],4.109600025,0.3918,2.194454528,-0.2793090310000004
466,276314,HEZHEB,10.1021/ja305491t,O=C1[N-][N+](C2C3CCC(C3)C12)=C1c2ccccc2c2ccccc12,3.42150002,0.5738,1.783667595,-0.14583517000000024
421,139818,DIWTIM,10.1002/cber.19861190217,C[Si](C)(C)C(=P(C(c1ccccc1)c1ccccc1)=C([Si](C)(C)C)[Si](C)(C)C)[Si](C)(C)C,2.2349000130000003,0.1057,1.1750071990000002,-0.11511438500000004
488,712967,UBEQUQ,10.1039/C6CE02157C,CCOC(=O)CN1C(=O)C2=C(NC(=O)C2=C1C1=CC=CS1)C1=CC=CS1,2.712600016,0.5777,1.437551621,-0.16250322599999967
178,182800,EVAWON,10.1055/s-2003-44357,Cc1ccc(cc1)[N+]1=NOC(=C1C1=NNC(C1)c1ccccc1)[O-],3.559000021,0.3042,1.704801437,0.14939714700000017
658,561510,POZJAQ,10.1021/ja900133m,COc1ccc(cc1)C1=[N+]([O-])C(c2ccc(cc2)C(F)(F)F)C1=Cc1ccccc1,3.866800023,0.0006,2.0728903869999997,-0.2789807509999993
657,221353,FOZTIZ,10.1021/acs.cgd.5b00105,CC(C)[Si](C#CC1=C2N=C3C4=C(SC=C4)C4=C(C=CS4)C3=NC2=C(C#C[Si](C(C)C)(C(C)C)C(C)C)C2=NSN=C12)(C(C)C)C(C)C,2.261300014,0.2914,1.269786085,-0.2782721559999999
272,23142,ARAYEX,10.1002/ejoc.200300471,O=C1C2=C(C(=O)C3=C1c1ccccc1[N+](=C3)[O-])c1ccccc1N2,1.74410001,0.0006,0.8776898912000001,-0.01127977240000022
871,88098,CELSER,10.1021/om00080a033,CCc1cccc(CC)c1[Si](c1c(CC)cccc1CC)=[Si](c1c(CC)cccc1CC)c1c(CC)cccc1CC,3.1780000189999997,0.1671,1.780702969,-0.3834059190000003
821,561986,PRFLID10,10.1107/S0567740878010675,CC(C)OC(=O)c1cccc2c3ccccc3C(c12)=C1c2ccccc2c2cccc(C(=O)OC(C)C)c12,2.522100015,0.3278,1.441720406,-0.361340797
838,708632,TULYAA,10.1021/ja961562e,C1CCCc2c3c(ccc(c4ccccc4)c3c(CC1)c1c(ccc(c3ccccc3)c21)c1ccccc1)c1ccccc1,2.8403000169999997,0.2242,1.606086151,-0.37187228500000025
783,377926,KIQVIP,10.1002/(SICI)1098-1071(1999)10:2<113::AID-HC4>3.0.CO2-R ,COc1cccc2SN=S=Nc12,1.9562000119999998,0.0103,1.149272848,-0.3423456840000003
289,66804,BPCAMN,,Ic1ccc(cc1)[N+]([N-]C#N)=C1c2ccccc2c2ccccc12,3.41020002,0.568,1.7178604530000001,-0.025520886000000242
427,547943,PHPYHP,10.1071/CH9791943,CN1C(=O)N(C)C(=O)C(=C2C=CC3=Nc4ccccc4N(c4ccccc4)C3=C2)C1=O,2.346600014,0.5886,1.232729893,-0.11885977199999997
545,366263,KAZROU,10.1016/j.poly.2012.05.018,C(COc1ccccc1)CN1C=C2C=C1C(=C1C=CC(=N1)C(=C1NC(=C(c3ccccc3)C3=NC(=C2c2ccccc2)C=C3)C=C1)c1ccccc1)c1ccccc1,1.885900011,0.1737,1.048749365,-0.21159871899999994
768,675026,TABPUJ,10.1021/ja100238h,C[N+]1=C(C=Nc2c([O-])c3cccnc3c3ncccc23)C2CC3CC(CC1C3)C2,2.6965000160000003,0.0827,1.516559606,-0.33661919599999957
500,654692,SICTEF,10.1021/jo301247c,CCOC(=O)N1C=CC(C=C1)=C1OC(=O)C=C1C,3.5244000210000004,1.0722,1.847616827,-0.17083363299999954
92,45155,BBZFRO,10.1107/S0567740872003814,BrC1=CC2=NO[N+](=C2C=C1)[O-],3.581300021,0.10300000000000001,1.586188914,0.408922193
737,669945,SUJKIT,10.1021/jo501969z,COC(=O)CCC1=C2N(C(=C1C)C#C[Si](C)(C)C)[B-](F)(F)[N+]1=C(Cl)C(=C(CCC(=O)OC)C1=C2C#C[Si](C)(C)C)C,2.594700016,0.65,1.458489694,-0.3222793720000001
260,787441,WEVJUD,10.1107/S1600536806051543,COc1ccc(cc1)C1NC(SCc2ccc(cc2)N(=O)=O)N=N1,2.062600012,0.1072,0.7087319524,0.6451361071999999
636,939052,DEWYIQ,10.1016/j.tetlet.2018.01.019,C[N+]1=NOC(=C1)[N-]C(=O)OC(C)(C)C,4.155600025,0.2553,2.210677902,-0.265755779
540,840621,XURBOC,10.1021/jo901142f,CC(C)(C)C1=CC(=CC=C2C(=O)ON=C2c2ccccc2)C=C(O1)C(C)(C)C,3.156400019,1.08,1.681978976,-0.20755793299999992
301,678978,TAMSAB,10.1021/jo00018a013,CCN(CC)c1ccc(cc1)N=[N+]1[N-]C(=O)c2ccccc12,3.005200018,1.0159,1.5205646590000002,-0.035929300000000275
322,154162,DUSTER,10.1107/S1600536810026176,OC1(Cc2ccccc2)c2ccccc2[N+](=C1c1ccccc1)[O-],3.706600022,0.0008,1.880396505,-0.05419298800000005
271,568794,PUZNUV,10.1016/j.tetlet.2015.12.062,Clc1ccc(cc1)C=C1C(=O)N(c2ccccc2)C(=O)C1=Cc1ccccc1,3.253000019,0.4468,1.6320773780000002,-0.01115473700000047
318,209033,FIHSAR,10.1016/j.bmc.2004.06.033,COc1ccc(cc1)[N+]1=NOC(=C1C=NN=C1SCC(=O)N1c1ccccc1)[O-],3.761900023,0.514,1.905727039,-0.04955405500000021
556,748775,VEBKAP,10.1021/ja0570786,c1ccc(cc1)c1c2cc3ccccc3cc2cc2cc3ccccc3cc12,2.245900013,0.0479,1.232571795,-0.21924357699999986
283,512668,OJAHIS,10.1039/C5RA09505K,F[B-]1(F)N(N=C(N=[N+]1c1ccccc1)c1ccc(cc1)C1=NN(c2ccccc2)[B-](F)(F)[N+](=N1)c1ccccc1)c1ccccc1,2.5988000159999998,0.3299,1.30991145,-0.021022884000000186
314,223085,FUHCOA,10.1021/jf00103a045,Brc1cc2c(Br)c(Br)c(Br)c(Br)c2cc1Br,3.006900018,0.1562,1.527834915,-0.048769811999999746
884,663969,SOLPOY,,c1ccc2c(c1)cccc2N=S=Nc1cccc2ccccc12,2.810400017,0.7344,1.6003777469999998,-0.3903554769999995
21,587130,QISREP,10.1021/om990982k,CC(C)[Si](C)(C(C)C)[Si](=[Si]([Si](C)(C(C)C)C(C)C)[Si](C)(C)C(C)(C)C)[Si](C)(C)C(C)(C)C,3.1270000189999996,0.2637,1.306817515,0.5133649889999994
256,27958,AVANUI,10.14233/ajchem.2015.19174,O=C(NC(=S)NC1CCN(CC1)Cc1ccccc1)c1ccccc1,3.33810002,0.0765,0.7642205925,1.8096588350000002
130,99928,CIZCIY,10.1039/b717082c,CCCCCCC#Cc1c2cc3ccccc3cc2c(C#CCCCCCC)c2cc3ccccc3cc12,2.029100012,0.1906,0.9849892805,0.05912145099999977
660,188685,EZAFOC,10.1039/C6CC08079K,CN(C)c1ccc(cc1)N(C)C=CC=C(O)C=C1C(=O)OC(C)(C)OC1=O,2.8437000169999997,1.7687,1.563094067,-0.2824881170000002
480,55862,BILRUB10,10.1098/Rspb.1978.0066,CC1=C(C=C)C(NC1=O)=CC1=C(C)C(=C(CC2=C(CCC(O)=O)C(=C(N2)C=C2NC(=O)C(=C2C)C=C)C)N1)CCC(O)=O,2.534500015,0.4195,1.346116197,-0.15773237900000003
101,404521,LENHER,,CCN(CC)C1=NC(C(=N1)SC)=C1N=C(N=C1SC)N(CC)CC,2.398300014,0.5594,1.082745909,0.23280819600000013
342,163539,EFULOI,10.1016/j.bmc.2014.04.028,S1C(=Cc2ccccc12)N1C=CC=N1,3.32690002,0.1735,1.698984187,-0.07106835399999989
41,347714,JOBVIF,10.1246/bcsj.64.2242,CC(C)NC1=C2C(=O)C(=CC(=C2C(=O)C(=C1)[Se]c1ccccc1)NC(C)C)[Se]c1ccccc1,2.094400013,0.4179,0.7521297577,0.5901404976
406,289116,HOVLAF,10.1016/S0040-4020(99)00906-0,CCN1C(=CC=C2N(CC)c3ccccc3C2=O)C(=O)c2ccccc12,2.481200015,0.5698,1.2944115729999999,-0.10762313099999954
613,419812,LOTKEK,10.1016/S0040-4039(00)00599-2,C[Si]1(C)O[Si](C)(C)C2CC(=NO2)c2cccc(n2)C2=[N+]([O-])ON=C2c2cccc(n2)C2=NOC1C2,4.357600026,0.043,2.3053379290000002,-0.2530758320000004
863,697530,TIXCOT,10.1021/jo702351s,CC[Si]1(CC)OC(CC(C)C)CC(OC(=O)c2ccc(cc2)N(=O)=O)C1=C=C,0.9314000056,0.0,0.6554877074000001,-0.3795754092000001
757,99904,CIYZOZ,10.1071/CH9831843,O=N(=O)C1=CC2=[N+]([O-])N(N=C2C(=C1)N(=O)=O)c1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,3.0451000180000003,0.0381,1.688897471,-0.33269492399999967
622,51352,BEVPUP,10.1021/ol303490b,CC(C)[Si](C#CC1=C2C=CC=CC2=C(C#C[Si](C(C)C)(C(C)C)C(C)C)C2=N[Se]N=C12)(C(C)C)C(C)C,2.376300014,0.0281,1.317072942,-0.25784587000000014
758,557041,POJNOR,10.1002/anie.199419661,CC1(C)CSC(=CC=C2SCC(C)(C)C2=C(C#N)C#N)C1=C(C#N)C#N,2.379300014,0.5214,1.356204274,-0.33310853399999996
373,67916,BUBQAR,10.1021/ja8093313,CC(C)(C)[Si](c1cc2ccccc2c2ccccc12)=[Si]1C(CCC1([Si](C)(C)C)[Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C,2.903400017,0.0174,1.495957594,-0.08851517100000006
706,44662,BAZBIN,10.1107/S056774088200380X,S1C(=Nc2ccccc12)[N-][N+](=Nc1ccccc1)c1ccccc1,3.2240000189999996,0.5319,1.7647859419999998,-0.3055718650000001
584,134753,DICLIK,10.1107/S0108270186096816,CCN1C(=O)c2ccc3c4ccc5C(=O)N(CC)C(=O)c6ccc(c7ccc(C1=O)c2c37)c4c56,2.369200014,1.4051,1.30358453,-0.2379690459999999
27,151523,DUJBAM,10.1107/S1600536809046741,Cc1c[n+]([O-])c(C)c[n+]1[O-],3.9455000239999998,0.0647,1.6179759480000002,0.7095481279999993
190,645552,SAWXIY,,Clc1ccc(cc1)C1=[N+]([O-])c2ccccc2C1=O,2.7104000160000004,0.096,1.117569679,0.4752606580000003
252,580412,QELNOK,10.1002/jhet.5570350645,CC1=C(C(c2ccc3OC(=CC(=O)c3c2)c2ccccc2)C(=C(C)N1)C(=O)OCC=C)C(=O)OCC=C,3.663200022,0.2257,0.7533300519,2.1565399182
411,91983,CEYREF,10.1021/jp306365q,COCCOCCOCCN1C(=O)C2=C(N(CCOCCOCCOC)C(=O)C2=C1C1=CC=CS1)C1=CC=CS1,2.653200016,0.5484,1.3820793080000002,-0.11095860000000046
568,666629,SOVNEX,10.1016/j.molstruc.2008.12.020,Oc1cc2OC3=CC(=O)C(=CC3=C(c3ccccc3)c2cc1O)O,2.8176000169999997,0.0,1.522943397,-0.2282867770000001
892,723943,UKAVAF,10.1021/acs.cgd.6b00157,FC(F)(F)c1ccc(cc1)C1=C2C(=O)N(Cc3ccccc3)C(=C2C(=O)N1Cc1ccccc1)c1ccc(cc1)C(F)(F)F,3.046100018,0.4496,1.720496147,-0.39489227599999976
